[ Action ]
IS_NPC = A
SENTINEL = B
SCAVENGER = C
AGGRESSIVE = F
STAY_AREA = G
WIMPY = H
PET = I
TRAIN = J
PRACTICE = K
UNDEAD = O
CLERIC = Q
MAGE = R
THIEF = S
WARRIOR = T
NOALIGN = U
NOPURGE = V
IS_HEALER = aa
GAIN = bb
UPDATE_ALWAYS = cc

[ Affby ]
BLIND = A
INVISIBLE = B
DETECT_EVIL = C
DETECT_INVIS = D
DETECT_MAGIC = E
DETECT_HIDDEN = F
HOLD = G
SANCTUARY = H
FAERIE_FIRE = I
INFRARED = J
CURSE = K
FLAMING = L
POISON = M
PROTECT = N
PARALYSIS = O
SNEAK = P
HIDE = Q
SLEEP = R
CHARM = S
FLYING = T
PASS_DOOR = U
HASTE = V
CALM = W
PLAGUE = X
WEAKEN = Y
DARK_VISION = Z
BERSERK = aa
SWIM = bb
REGENERATION = cc

[ SpecFunc ]
none = ""
spec_breath_any = ""
spec_breath_acid = ""
spec_breath_fire = ""
spec_breath_frost = ""
spec_breath_gas = ""
spec_breath_lightning = ""
spec_cast_adept = ""
spec_cast_cleric = ""
spec_cast_judge = ""
spec_cast_mage = ""
spec_cast_undead = ""
spec_executioner = ""
spec_fido = ""
spec_guard = ""
spec_janitor = ""
spec_mayor = ""
spec_poison = ""
spec_thief = ""

[ ObjFlags ]
GLOW = A
HUM = B
DARK = C
LOCK = D
EVIL = E
INVIS = F
MAGIC = G
NODROP = H
BLESS = I
ANTI_GOOD = J
ANTI_EVIL = K
ANTI_NEUTRAL = L
NOREMOVE = M
INVENTORY = N
NOPURGE = O
ROT_DEATH = P
VIS_DEATH = Q

[ ObjWear ]
TAKE = A
WEAR_FINGER = B
WEAR_NECK = C
WEAR_BODY = D
WEAR_HEAD = E
WEAR_LEGS = F
WEAR_FEET = G
WEAR_HANDS = H
WEAR_ARMS = I
WEAR_SHIELD = J
WEAR_ABOUT = K
WEAR_WAIST = L
WEAR_WRIST = M
WIELD = N
HOLD = O
TWO_HANDS = P

[ Offensive ]
AREA_ATTACK = A
BACKSTAB = B
BASH = C
BERSERK = D
DISARM = E
DODGE = F
FADE = G
FAST = H
KICK = I
KICK_DIRT = J
PARRY = K
RESCUE = L
TAIL = M
TRIP = N
CRUSH = O
ASSIST_ALL = P
ASSIST_ALIGN = Q
ASSIST_RACE = R
ASSIST_PLAYERS = S
ASSIST_GUARD = T
ASSIST_VNUM = U

[ Immune ]
SUMMON = A
CHARM = B
MAGIC = C
WEAPON = D
BASH = E
PIERCE = F
SLASH = G
FIRE = H
COLD = I
LIGHTNING = J
ACID = K
POISON = L
NEGATIVE = M
HOLY = N
ENERGY = O
MENTAL = P
DISEASE = Q
DROWNING = R
LIGHT = S

[ Resist ]
CHARM = B
MAGIC = C
WEAPON = D
BASH = E
PIERCE = F
SLASH = G
FIRE = H
COLD = I
LIGHTNING = J
ACID = K
POISON = L
NEGATIVE = M
HOLY = N
ENERGY = O
MENTAL = P
DISEASE = Q
DROWNING = R
LIGHT = S

[ Vuln ]
MAGIC = C
WEAPON = D
BASH = E
PIERCE = F
SLASH = G
FIRE = H
COLD = I
LIGHTNING = J
ACID = K
POISON = L
NEGATIVE = M
HOLY = N
ENERGY = O
MENTAL = P
DISEASE = Q
DROWNING = R
LIGHT = S
WOOD = X
SILVER = Y
IRON = Z

[ Forms ]
EDIBLE = A
POISON = B
MAGICAL = C
INSTANT_DECAY = D
OTHER = E
ANIMAL = G
SENTIENT = H
UNDEAD = I
CONSTRUCT = J
MIST = K
INTANGIBLE = L
BIPED = M
CENTAUR = N
INSECT = O
SPIDER = P
CRUSTACEAN = Q
WORM = R
BLOB = S
MAMMAL = V
BIRD = W
REPTILE = X
SNAKE = Y
DRAGON = Z
AMPHIBIAN = aa
FISH = bb
COLD_BLOOD = cc    

[ Parts ]
HEAD = A
ARMS = B
LEGS = C
HEART = D
BRAINS = E
GUTS = F
HANDS = G
FEET = H
FINGERS = I
EAR = J
EYE = K
LONG_TONGUE = L
EYESTALKS = M
TENTACLES = N
FINS = O
WINGS = P
TAIL = Q
CLAWS = U
FANGS = V
HORNS = W
SCALES = X
TUSKS = Y

[ DamType ]
hit = 0
slice = 1
stab = 2
slash = 3
whip = 4
claw = 5
blast = 6
pound = 7
crush = 8
grep = 9
bite = 10
pierce = 11
suction = 12
beating = 13
digestion = 14
charge = 15
slap = 16
punch = 17
wrath = 18
magic = 19
divine power = 20
cleave = 21
scratch = 22
peck = 23
peck = 24
chop = 25
sting = 26
smash = 27
shocking bite = 28
flaming bite = 29
freezing bite = 30
acidic bite = 31
chomp = 32

[ Sex ]
NEUTRAL = 0
MALE = 1
FEMALE = 2
RANDOM = 3

[ Size ]
TINY = T
SMALL = S
MEDIUM = M
LARGE = L
HUGE = H
GIANT = G

[ Material ]
unknown = ""
cloth = ""
leather = ""
pill = ""
paper = ""
vellum = ""
glass = ""
wood = ""
steel = ""
bronze = ""
brass = ""
iron = ""
gold = ""
silver = ""
adamantite = ""
stone = ""
energy = ""
water = ""
crystal = ""
clay = ""
china = ""
ivory = ""
copper = ""
diamond = ""
mithril = ""
fur = ""
parchment = ""
tin = ""
ice = ""

[ Adjustments ]
NONE = 0
STR = 1
DEX = 2
INT = 3
WIS = 4
CON = 5
SEX = 6
CLASS = 7
LEVEL = 8
AGE = 9
HEIGHT = 10
WEIGHT = 11
